mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex
227-129974-0032_2785-154282-0002_409-124990-0088_1226-141279-0034,227.0,F,2785.0,F,409.0,M,1226.0,M
8534-216564-0045_6494-60774-0010_3094-136458-0029_511-131228-0067,8534.0,M,6494.0,M,3094.0,F,511.0,M
1322-137589-0011_6060-106611-0031_2709-158074-0089_2256-137628-0008,1322.0,M,6060.0,M,2709.0,F,2256.0,F
6637-71405-0034_3389-13250-0000_6555-397-0009_5448-19209-0007,6637.0,F,3389.0,M,6555.0,M,5448.0,M
5246-30101-0033_3927-6557-0034_2093-143271-0008_3228-4690-0010,5246.0,M,3927.0,M,2093.0,M,3228.0,F
548-126959-0056_3645-77173-0014_7938-110128-0006_1401-174511-0033,548.0,M,3645.0,F,7938.0,M,1401.0,F
6341-64956-0099_480-127525-0027_731-365-0033_6574-70756-0013,6341.0,F,480.0,M,731.0,F,6574.0,M
7754-105383-0053_6378-61780-0003_1050-134119-0028_5513-39477-0025,7754.0,F,6378.0,F,1050.0,F,5513.0,M
6904-262291-0044_1498-140040-0010_2741-159386-0062_1961-149739-0008,6904.0,F,1498.0,F,2741.0,F,1961.0,F
7720-105168-0058_5802-76044-0052_8592-285135-0075_4039-184266-0032,7720.0,M,5802.0,M,8592.0,M,4039.0,M
4848-101836-0024_2272-152282-0019_6550-65820-0015_6317-54487-0039,4848.0,M,2272.0,M,6550.0,M,6317.0,F
4257-6397-0063_1323-149236-0028_3289-171109-0025_5660-101883-0022,4257.0,M,1323.0,M,3289.0,M,5660.0,F
1446-122614-0024_225-131259-0009_8684-293663-0069_7949-39970-0050,1446.0,M,225.0,F,8684.0,F,7949.0,M
339-132718-0000_8142-110520-0006_1093-132891-0055_5985-63885-0031,339.0,F,8142.0,M,1093.0,F,5985.0,M
1050-134120-0023_2388-153728-0011_3330-172156-0000_2674-155968-0078,1050.0,F,2388.0,M,3330.0,F,2674.0,M
1944-159228-0006_816-53638-0020_8113-117384-0004_1649-5776-0014,1944.0,F,816.0,M,8113.0,F,1649.0,F
90-130566-0018_6518-66464-0011_4860-13185-0094_1290-135762-0001,90.0,M,6518.0,F,4860.0,M,1290.0,F
1943-138033-0001_6308-68359-0011_90-121085-0068_7802-104394-0010,1943.0,M,6308.0,F,90.0,M,7802.0,F
7569-102232-0033_511-131228-0042_6895-92806-0013_2039-141208-0024,7569.0,M,511.0,M,6895.0,F,2039.0,M
5007-31603-0035_6694-70837-0002_3368-170950-0020_1724-395-0002,5007.0,F,6694.0,M,3368.0,M,1724.0,F
7991-102381-0063_501-125127-0070_2368-157066-0007_4108-2772-0035,7991.0,M,501.0,M,2368.0,M,4108.0,M
4064-77779-0017_1182-134981-0022_2758-86040-0020_6233-36633-0028,4064.0,F,1182.0,M,2758.0,F,6233.0,F
781-126737-0031_4800-73729-0027_1054-143005-0089_5126-27504-0044,781.0,M,4800.0,F,1054.0,F,5126.0,M
6330-66016-0008_1349-135892-0049_3733-140718-0018_1343-158781-0000,6330.0,M,1349.0,M,3733.0,F,1343.0,F
112-121671-0005_8887-281471-0033_2815-160188-0049_4427-20028-0010,112.0,F,8887.0,M,2815.0,M,4427.0,F
1668-136271-0019_5940-54613-0011_8820-294114-0024_5746-48361-0001,1668.0,F,5940.0,M,8820.0,M,5746.0,M
5914-52088-0039_4222-187006-0015_2427-154671-0011_1607-150715-0007,5914.0,M,4222.0,F,2427.0,M,1607.0,M
7437-96153-0005_4226-185488-0008_4111-184448-0039_3717-21493-0032,7437.0,M,4226.0,M,4111.0,F,3717.0,M
100-121674-0024_8879-300234-0061_4719-25766-0000_1390-130494-0017,100.0,F,8879.0,M,4719.0,M,1390.0,F
836-130900-0039_6308-68359-0014_6060-106611-0018_7313-91072-0055,836.0,M,6308.0,F,6060.0,M,7313.0,M
296-141721-0020_3185-163505-0012_7495-252342-0040_345-1119-0029,296.0,M,3185.0,M,7495.0,F,345.0,M
1845-145083-0003_1874-165702-0004_7995-280250-0026_2696-157636-0038,1845.0,F,1874.0,M,7995.0,F,2696.0,M
7240-92200-0028_548-126959-0011_4586-19665-0004_112-121671-0012,7240.0,F,548.0,M,4586.0,M,112.0,F
2774-131722-0107_4519-80189-0023_2709-158074-0028_5717-61421-0030,2774.0,M,4519.0,F,2709.0,F,5717.0,M
2294-161707-0025_7732-107520-0024_6206-14960-0034_770-134592-0025,2294.0,M,7732.0,M,6206.0,F,770.0,M
2971-4275-0091_8006-112592-0001_2010-147045-0026_6341-64956-0046,2971.0,M,8006.0,M,2010.0,F,6341.0,F
949-134660-0020_7982-245691-0064_2039-141208-0000_4733-6398-0007,949.0,M,7982.0,F,2039.0,M,4733.0,M
100-121674-0034_6060-58090-0032_6904-262291-0040_688-46588-0009,100.0,F,6060.0,M,6904.0,F,688.0,F
3446-144019-0029_3118-5909-0022_3330-170956-0028_3105-166683-0001,3446.0,F,3118.0,M,3330.0,F,3105.0,M
6157-40556-0106_2582-155973-0012_2113-132485-0048_5767-48579-0074,6157.0,M,2582.0,F,2113.0,M,5767.0,M
6286-75355-0017_5147-32137-0033_8776-270778-0038_7868-110705-0025,6286.0,F,5147.0,M,8776.0,F,7868.0,F
3977-185457-0003_192-128345-0014_2532-154838-0047_28-12332-0065,3977.0,M,192.0,F,2532.0,F,28.0,F
5914-52088-0021_6235-36641-0035_205-157088-0012_7809-108638-0075,5914.0,M,6235.0,F,205.0,F,7809.0,M
1050-134121-0003_492-131882-0009_1923-161975-0001_4434-73958-0001,1050.0,F,492.0,M,1923.0,F,4434.0,F
3032-19361-0068_1513-140222-0040_208-126851-0008_925-8141-0027,3032.0,M,1513.0,M,208.0,F,925.0,F
5029-31091-0007_1417-1539-0013_836-131106-0028_2229-152864-0040,5029.0,F,1417.0,F,836.0,M,2229.0,M
8619-291381-0005_7967-117095-0011_6308-68358-0014_2230-124587-0029,8619.0,M,7967.0,F,6308.0,F,2230.0,F
7809-108638-0002_882-123268-0024_7139-75362-0017_3549-8890-0017,7809.0,M,882.0,F,7139.0,M,3549.0,F
7286-92935-0036_7434-75939-0055_4629-19366-0067_3482-170452-0015,7286.0,F,7434.0,F,4629.0,M,3482.0,F
4854-24731-0077_203-126577-0019_3889-9915-0029_7816-108621-0025,4854.0,M,203.0,F,3889.0,F,7816.0,F
6388-64974-0008_7313-91072-0058_157-126796-0008_3230-137483-0013,6388.0,F,7313.0,M,157.0,M,3230.0,M
7688-105390-0008_1473-135657-0081_17-363-0026_8677-246948-0034,7688.0,M,1473.0,M,17.0,M,8677.0,F
6637-71405-0017_3105-166683-0024_7705-101579-0007_1603-139325-0000,6637.0,F,3105.0,M,7705.0,M,1603.0,M
2194-150469-0011_1776-139035-0014_8879-300343-0038_2230-132101-0026,2194.0,F,1776.0,M,8879.0,M,2230.0,F
7416-103126-0075_7276-92427-0021_6555-398-0066_6567-53342-0043,7416.0,F,7276.0,F,6555.0,M,6567.0,F
6494-60800-0000_7832-114468-0021_5918-46890-0117_1472-285314-0037,6494.0,M,7832.0,M,5918.0,M,1472.0,F
5672-88363-0010_8474-281188-0065_1859-145700-0006_8825-292253-0006,5672.0,M,8474.0,M,1859.0,F,8825.0,F
2060-150843-0030_6426-64290-0024_1448-135894-0023_7981-112057-0024,2060.0,F,6426.0,F,1448.0,F,7981.0,M
7705-101580-0003_8875-293959-0054_7140-72210-0016_501-125128-0028,7705.0,M,8875.0,M,7140.0,F,501.0,M
5606-54666-0012_5776-46889-0031_1001-134707-0057_2582-155972-0023,5606.0,F,5776.0,M,1001.0,M,2582.0,F
8677-291953-0030_7285-72200-0065_6119-48032-0052_7247-77778-0020,8677.0,F,7285.0,F,6119.0,M,7247.0,M
2494-156018-0012_606-127691-0020_1789-142896-0041_1379-130530-0021,2494.0,M,606.0,M,1789.0,M,1379.0,M
112-123215-0009_8163-274549-0031_5909-111961-0015_3686-171133-0015,112.0,F,8163.0,F,5909.0,M,3686.0,M
949-138545-0007_576-129623-0071_246-122825-0014_2999-156968-0002,949.0,M,576.0,F,246.0,F,2999.0,M
4278-13269-0009_5389-4861-0081_4057-11254-0007_2654-158744-0082,4278.0,M,5389.0,M,4057.0,F,2654.0,M
4226-12707-0056_3119-163519-0007_596-127685-0036_454-134728-0049,4226.0,M,3119.0,F,596.0,F,454.0,M
666-11243-0048_7717-105405-0016_4590-18004-0013_8545-287671-0046,666.0,F,7717.0,F,4590.0,M,8545.0,F
1212-75242-0017_3979-10702-0006_8575-290350-0016_5039-1189-0074,1212.0,F,3979.0,F,8575.0,M,5039.0,F
3869-700-0072_5189-37999-0042_3228-4691-0029_2999-156967-0026,3869.0,M,5189.0,M,3228.0,F,2999.0,M
6782-61316-0062_454-134728-0039_3914-10088-0010_5809-58763-0032,6782.0,F,454.0,M,3914.0,M,5809.0,F
6115-58433-0016_820-123133-0033_8855-283242-0060_7286-92935-0044,6115.0,M,820.0,M,8855.0,M,7286.0,F
984-137154-0022_2577-157236-0091_9022-282357-0024_5588-68188-0031,984.0,M,2577.0,F,9022.0,F,5588.0,F
711-187466-0072_1776-139035-0046_3380-64298-0010_6139-58869-0017,711.0,M,1776.0,M,3380.0,F,6139.0,F
2299-6524-0021_2853-164188-0028_3307-145145-0017_112-121727-0016,2299.0,M,2853.0,F,3307.0,M,112.0,F
242-122627-0009_4054-11077-0038_1885-136863-0056_2061-147110-0104,242.0,F,4054.0,M,1885.0,F,2061.0,F
3967-292604-0041_4839-15307-0006_1387-130989-0037_663-128991-0011,3967.0,F,4839.0,F,1387.0,M,663.0,M
1987-144135-0015_1271-133279-0007_4854-24732-0045_3866-173230-0011,1987.0,M,1271.0,M,4854.0,M,3866.0,M
4807-26853-0041_666-11243-0060_6505-231836-0032_3540-163612-0022,4807.0,F,666.0,F,6505.0,F,3540.0,M
2815-160188-0040_8705-290363-0013_8605-291172-0014_724-123283-0020,2815.0,M,8705.0,M,8605.0,F,724.0,M
8142-3967-0001_8028-233382-0022_5984-56837-0009_16-122827-0041,8142.0,M,8028.0,M,5984.0,F,16.0,F
6395-84349-0014_7926-254949-0051_8011-117866-0016_7498-99157-0014,6395.0,M,7926.0,M,8011.0,M,7498.0,F
8705-290363-0052_7982-245691-0039_1446-122614-0018_7802-104398-0026,8705.0,M,7982.0,F,1446.0,M,7802.0,F
4681-13056-0040_112-123216-0017_1724-395-0010_5054-1187-0008,4681.0,M,112.0,F,1724.0,F,5054.0,F
6373-65772-0027_666-11243-0013_581-126955-0065_3448-5416-0049,6373.0,F,666.0,F,581.0,M,3448.0,M
5063-32451-0010_3645-39840-0001_543-137106-0024_4133-6541-0005,5063.0,F,3645.0,F,543.0,M,4133.0,M
7949-39970-0010_1874-143361-0027_4495-18533-0042_7495-102612-0016,7949.0,M,1874.0,M,4495.0,M,7495.0,F
922-132291-0024_6497-234106-0014_7258-91906-0000_5868-55088-0000,922.0,M,6497.0,M,7258.0,M,5868.0,M
7837-109173-0032_434-132649-0022_5731-50778-0035_480-123176-0036,7837.0,M,434.0,F,5731.0,F,480.0,M
23-124439-0066_176-123269-0029_3977-185457-0016_2688-144987-0069,23.0,F,176.0,M,3977.0,M,2688.0,M
335-125951-0005_8195-117382-0090_7313-91072-0098_711-187464-0034,335.0,M,8195.0,M,7313.0,M,711.0,M
7525-92915-0003_7938-109179-0034_55-121069-0043_1740-141148-0083,7525.0,F,7938.0,M,55.0,M,1740.0,F
957-130588-0032_699-132882-0034_1556-143307-0056_7732-107517-0006,957.0,M,699.0,F,1556.0,M,7732.0,M
7437-117899-0012_1448-135894-0013_8820-294114-0046_1058-131113-0001,7437.0,M,1448.0,F,8820.0,M,1058.0,M
1264-135033-0007_1383-130489-0005_3009-10328-0020_6686-216563-0001,1264.0,M,1383.0,M,3009.0,M,6686.0,M
2577-157236-0073_3922-715-0017_3728-105386-0023_1028-133395-0025,2577.0,F,3922.0,F,3728.0,F,1028.0,M
1175-126220-0034_122-121734-0011_4145-34497-0029_1226-141270-0020,1175.0,M,122.0,M,4145.0,F,1226.0,M
2010-121416-0041_3221-9174-0036_3852-175448-0009_1913-147989-0021,2010.0,F,3221.0,M,3852.0,F,1913.0,M
3008-164327-0000_5400-34478-0039_2785-154284-0012_3340-169293-0007,3008.0,F,5400.0,F,2785.0,F,3340.0,M
581-126955-0087_4837-302000-0015_1482-140067-0016_497-129325-0028,581.0,M,4837.0,F,1482.0,M,497.0,M
510-130101-0002_8011-291458-0022_1401-174511-0016_7789-258266-0040,510.0,M,8011.0,M,1401.0,F,7789.0,F
4108-2777-0038_1259-137770-0013_353-128309-0041_1028-133395-0031,4108.0,M,1259.0,F,353.0,M,1028.0,M
1724-395-0030_122-129752-0023_5054-1187-0049_6993-83606-0042,1724.0,F,122.0,M,5054.0,F,6993.0,M
6286-75355-0032_1054-143005-0103_242-122626-0024_7383-95441-0010,6286.0,F,1054.0,F,242.0,F,7383.0,F
1472-139797-0019_3866-173230-0017_1222-133834-0037_8119-115686-0034,1472.0,F,3866.0,M,1222.0,M,8119.0,M
7297-275885-0016_1001-134707-0004_126-122467-0008_3157-119295-0017,7297.0,F,1001.0,M,126.0,F,3157.0,F
225-131276-0008_1849-144965-0063_1845-145088-0005_8119-115686-0012,225.0,F,1849.0,M,1845.0,F,8119.0,M
7933-113273-0040_3389-13250-0002_4108-2772-0023_4010-10798-0029,7933.0,F,3389.0,M,4108.0,M,4010.0,M
9022-282357-0016_101-126859-0003_8591-284444-0018_2827-170438-0043,9022.0,F,101.0,M,8591.0,F,2827.0,M
